	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	gi	file_name	Sample	bg in mM	[Buffer] in mM	Monovalent Ion	Concentration	Concentration Unit	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm
181	22	5 mM MgCl2	400.0	21.0	90.0	1	Heating	182	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
182	23	5 mM MgCl2	400.0	90.0	21.0	2	Cooling	183	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
183	24	5 mM MgCl2	400.0	21.0	90.0	2	Heating	184	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
184	25	1 mM MgCl2	400.0	90.0	21.0	1	Cooling	185	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
185	26	1 mM MgCl2	400.0	21.0	90.0	1	Heating	186	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
186	27	1 mM MgCl2	400.0	90.0	21.0	2	Cooling	187	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
187	28	1 mM MgCl2	400.0	21.0	90.0	2	Heating	188	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
188	29	0.1 mM MgCl2	400.0	90.0	21.0	1	Cooling	189	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
189	30	0.1 mM MgCl2	400.0	21.0	90.0	1	Heating	190	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
190	31	0.1 mM MgCl2	400.0	90.0	21.0	2	Cooling	191	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
191	32	0.1 mM MgCl2	400.0	21.0	90.0	2	Heating	192	2023-08-21_RNA_melting_MgCl2_NaCl_VS.csv																							
192	1	10 mM CaCl2	260.0	90.0	21.0	1	Cooling	193	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
193	2	10 mM CaCl2	260.0	21.0	90.0	1	Heating	194	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
194	3	10 mM CaCl2	260.0	90.0	21.0	2	Cooling	195	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
195	4	10 mM CaCl2	260.0	21.0	90.0	2	Heating	196	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
196	5	5 mM CaCl2	260.0	90.0	21.0	1	Cooling	197	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
197	6	5 mM CaCl2	260.0	21.0	90.0	1	Heating	198	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
198	7	5 mM CaCl2	260.0	90.0	21.0	2	Cooling	199	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
199	8	5 mM CaCl2	260.0	21.0	90.0	2	Heating	200	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
200	9	1 mM CaCl2	260.0	90.0	21.0	1	Cooling	201	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
201	10	1 mM CaCl2	260.0	21.0	90.0	1	Heating	202	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
202	11	1 mM CaCl2	260.0	90.0	21.0	2	Cooling	203	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
203	12	1 mM CaCl2	260.0	21.0	90.0	2	Heating	204	2023-08-22_RNA_melting_CaCl2_NaCl_VS.csv																							
