Measurement,Sample Name,Wavelength (nm),Temperature Start (°C),Temperature End (°C),Run,Ramp Type,gi,file_name,Sample,bg in mM,[Buffer] in mM,Monovalent Ion,Concentration,Concentration Unit
9,1 mM EDTA,260.0,90.0,21.0,1,Cooling,489,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),1.0,mM
10,1 mM EDTA,260.0,21.0,90.0,1,Heating,490,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),1.0,mM
11,1 mM EDTA,260.0,90.0,21.0,2,Cooling,491,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),1.0,mM
12,1 mM EDTA,260.0,21.0,90.0,2,Heating,492,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),1.0,mM
13,0 mM EDTA,260.0,90.0,21.0,1,Cooling,493,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),0.0,mM
14,0 mM EDTA,260.0,21.0,90.0,1,Heating,494,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),0.0,mM
15,0 mM EDTA,260.0,90.0,21.0,2,Cooling,495,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),0.0,mM
16,0 mM EDTA,260.0,21.0,90.0,2,Heating,496,2023-11-08_RNA_melting_EDTA_HEPES_KCl.csv,RNA,16.0,20.0,K(I),0.0,mM
1,4.15 mM KCl,260.0,90.0,21.0,1,Cooling,769,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),4.15,mM
2,4.15 mM KCl,260.0,21.0,90.0,1,Heating,770,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),4.15,mM
3,4.15 mM KCl,260.0,90.0,21.0,2,Cooling,771,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),4.15,mM
4,4.15 mM KCl,260.0,21.0,90.0,2,Heating,772,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),4.15,mM
5,1.66 mM KCl,260.0,90.0,21.0,1,Cooling,773,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),1.66,mM
6,1.66 mM KCl,260.0,21.0,90.0,1,Heating,774,2024-01-22_RNA_melting_HEPES_KCl.csv,RNA,0.0,0.0,K(I),1.66,mM
