	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	Sample	bg in mM	[Buffer] in mM	Divalent Ion	Monovalent Ion	gi	file_name	Concentration	Concentration Unit	Ion	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS
112	17	500 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	113	2023-08-16_RNA_melting_VS.csv	500.0	mM	MgCl2																	
113	18	500 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	114	2023-08-16_RNA_melting_VS.csv	500.0	mM	MgCl2																	
114	19	500 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	115	2023-08-16_RNA_melting_VS.csv	500.0	mM	MgCl2																	
115	20	500 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	116	2023-08-16_RNA_melting_VS.csv	500.0	mM	MgCl2																	
116	21	100 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	117	2023-08-16_RNA_melting_VS.csv	100.0	mM	MgCl2																	
117	22	100 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	118	2023-08-16_RNA_melting_VS.csv	100.0	mM	MgCl2																	
118	23	100 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	119	2023-08-16_RNA_melting_VS.csv	100.0	mM	MgCl2																	
119	24	100 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	120	2023-08-16_RNA_melting_VS.csv	100.0	mM	MgCl2																	
120	25	50 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	121	2023-08-16_RNA_melting_VS.csv	50.0	mM	MgCl2																	
121	26	50 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	122	2023-08-16_RNA_melting_VS.csv	50.0	mM	MgCl2																	
122	27	50 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	123	2023-08-16_RNA_melting_VS.csv	50.0	mM	MgCl2																	
123	28	50 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	124	2023-08-16_RNA_melting_VS.csv	50.0	mM	MgCl2																	
124	29	10 mM MgCl2	400.0	90.0	21.0	1	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	125	2023-08-16_RNA_melting_VS.csv	10.0	mM	MgCl2																	
125	30	10 mM MgCl2	400.0	21.0	90.0	1	Heating	RNA	116.0	20.0	Mg(II)	K(I)	126	2023-08-16_RNA_melting_VS.csv	10.0	mM	MgCl2																	
126	31	10 mM MgCl2	400.0	90.0	21.0	2	Cooling	RNA	116.0	20.0	Mg(II)	K(I)	127	2023-08-16_RNA_melting_VS.csv	10.0	mM	MgCl2																	
127	32	10 mM MgCl2	400.0	21.0	90.0	2	Heating	RNA	116.0	20.0	Mg(II)	K(I)	128	2023-08-16_RNA_melting_VS.csv	10.0	mM	MgCl2																	
