CSV Report,2023_08_30_DNA_TRIS-HCl_85_Na.csv
Worksheet Type,Thermal

METHOD
X mode,nm
Y mode,Abs
Collect mode,Wavelength
Wavelengths (nm),260.00,400.00
Averaging Time (s),2
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Zero,Off
Experiment Zones,1

Temperature Collection
Start (°C),21.0
Return (°C),21.0

Derivative
Lower limit (°C),-5
Upper limit (°C),110

Number of stages,7
Stage,Collect data,Data Interval (°C),Rate (°C/min),End (°C),Hold (min)
Stage 1,No,1.0,2.0,80.0,5.00
Stage 2,Yes,0.5,1.0,20.0,5.00
Stage 3,Yes,0.5,1.0,80.0,5.00
Stage 4,Yes,0.5,1.0,20.0,5.00
Stage 5,Yes,0.5,1.0,80.0,5.00
Stage 6,Yes,0.5,1.0,20.0,5.00
Stage 7,Yes,0.5,1.0,80.0,0.00

SAMPLES
Name,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_260.00nm_20.0-80.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,0_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,10_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,30_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R1,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_80.0-20.0C_R2,,100_mM_Na(I)_TRIS-HCl_pH8.5_400.00nm_20.0-80.0C_R2,
,58,0.247495856663618,42,0.229644833290797,58,0.254565901869641,42,0.223080598629197,58,0.252269171115504,42,0.215558445805319,58,0.229334542314687,42,0.189219974911286,58,0.234132052189975,42,0.193360670345544,58,0.239176168750673,42,0.197666056383064,58,0.239950871220015,42,0.195902284055739,58,0.246129791451801,42,0.200724427466569,58,0.252664820553871,42,0.205934906829821,58,0.237284681093306,42,0.213603795338666,58,0.241771415348151,42,0.218171373851773,58,0.246454331131814,42,0.222847866666485,58,0.0237353509271349,42,0.0235666153860733,58,0.0235480073631562,42,0.0234226733629641,58,0.023454720925927,42,0.0235343345505867,58,0.00374808937993399,42,0.00356197432461269,58,0.00369362919539054,42,0.00355697227216003,58,0.00365537069898461,42,0.003895834954959,58,0.00473663218926705,42,0.00485656808935079,58,0.00464683549065028,42,0.00472955246440731,58,0.0045639632631392,42,0.00464602837332082,58,0.024213038859448,42,0.0241150360220251,58,0.0240866239004859,42,0.024003128567061,58,0.0240193996090612,42,0.0239415624477167
,57.5,0.247414370115621,42.5,0.231744358850671,57.5,0.254478593924397,42.5,0.225242573103008,57.5,0.252182948505704,42.5,0.217002155981031,57.5,0.229234800740774,42.5,0.190298948130012,57.5,0.234042962034688,42.5,0.194355412154599,57.5,0.239081362826094,42.5,0.198489226603236,57.5,0.23997317366111,42.5,0.196270933662686,57.5,0.245959156780706,42.5,0.201071650763329,57.5,0.252446618145413,42.5,0.206291296934424,57.5,0.234523978755044,42.5,0.213665587286955,57.5,0.238999840467617,42.5,0.218260633207149,57.5,0.243551704165208,42.5,0.222938073402069,57.5,0.023746682771469,42.5,0.0235690475853286,57.5,0.0235566066322487,42.5,0.0234252722779333,57.5,0.0234405729572226,42.5,0.0235258375701064,57.5,0.00375807113770029,42.5,0.00356716572874292,57.5,0.00368571384656045,42.5,0.00356271723439344,57.5,0.00365787937378771,42.5,0.0038787089313832,57.5,0.00475258121835646,42.5,0.00485433935973478,57.5,0.00469023966804993,42.5,0.00473354680335076,57.5,0.00455895418893,42.5,0.00463674056225545,57.5,0.0242193547947851,42.5,0.0241112301648019,57.5,0.0240917537817583,42.5,0.0240073524952027,57.5,0.0240150346615067,42.5,0.023936740720652
,57,0.247384301649585,43,0.233776195720198,57,0.254354322570805,43,0.227422436291121,57,0.252115974093374,43,0.218634479719181,57,0.22913480496369,43,0.191545414157574,57,0.233968486441559,43,0.195496956026969,57,0.238998568862427,43,0.199490674171246,57,0.240329439813823,43,0.196620662853703,57,0.245740975448773,43,0.201459806201084,57,0.252195205814373,43,0.206658236695992,57,0.232038487202527,43,0.213761508837597,57,0.236634040727469,43,0.218369808568559,57,0.241058069405088,43,0.22304683665792,57,0.0237579284870636,43,0.0235570239689096,57,0.0235573184689226,43,0.0234297378932699,57,0.0234408054034629,43,0.0235157964679498,57,0.00376626578066836,43,0.00357156144378747,57,0.00368951521364366,43,0.00356080596217471,57,0.00365868025593124,43,0.00386781602250376,57,0.00475042284732075,43,0.00484267863286323,57,0.00467247675192869,43,0.00472919244133755,57,0.00455087528587407,43,0.00462719925161049,57,0.0242284144635973,43,0.0241033183411974,57,0.0240930785198205,43,0.0240079783403611,57,0.0240196835433591,43,0.0239357005074513
,56.5,0.247307973457762,43.5,0.235766391049602,56.5,0.254274170196337,43.5,0.229817017297627,56.5,0.25199653100444,43.5,0.220573326652643,56.5,0.229037379407973,43.5,0.19294714210505,56.5,0.233885957208331,43.5,0.196800131261444,56.5,0.238890733286929,43.5,0.200710247680412,56.5,0.239908728449014,43.5,0.197012390585347,56.5,0.245437395857594,43.5,0.201826963342727,56.5,0.251854392464416,43.5,0.207061495429482,56.5,0.229759913500515,43.5,0.213883241420813,56.5,0.23433893816832,43.5,0.218477999216007,56.5,0.238821986008634,43.5,0.223146002151964,56.5,0.0237171650116496,43.5,0.0235564159218857,56.5,0.0235533166542847,43.5,0.0234259268938197,56.5,0.0234644216491571,43.5,0.0235220865780928,56.5,0.00375411553226304,43.5,0.00356391712764601,56.5,0.00368803244651067,43.5,0.00356644310779127,56.5,0.00366432010853418,43.5,0.00385225526409405,56.5,0.00473623051140411,43.5,0.00483463874049407,56.5,0.00467160034799522,43.5,0.00473277495220936,56.5,0.00458011418714925,43.5,0.00462304893688526,56.5,0.0242227859650821,43.5,0.0241044828337479,56.5,0.0240983349370397,43.5,0.0240087815726616,56.5,0.0240276752665772,43.5,0.0239271563341611
,56,0.24723654000162,44,0.237575027537491,56,0.254133021928802,44,0.232376481544752,56,0.251929258996943,44,0.22259102144105,56,0.228944136760153,44,0.194877134216546,56,0.233810036876267,44,0.19844877352542,56,0.238780239560542,44,0.202164578896732,56,0.239370115059021,44,0.197497662644279,56,0.245110903815799,44,0.202270634882275,56,0.251467573366593,44,0.207490996031655,56,0.227801700638161,44,0.213991238346093,56,0.23247357082784,44,0.218604429859704,56,0.236934858654271,44,0.223257196797507,56,0.0237447737278707,44,0.0235536725710952,56,0.0235543630697695,44,0.023430533436975,56,0.0234644434562477,44,0.0235185018545099,56,0.00375758660433958,44,0.00357021882618532,56,0.00369372248814833,44,0.00355940752051137,56,0.00366702337929932,44,0.00385597736771862,56,0.00474749243858611,44,0.00482575753832488,56,0.00467431870399912,44,0.00473583807779013,56,0.00458003427059416,44,0.00462363112216133,56,0.0242167383319961,44,0.0240987980423211,56,0.024091723753612,44,0.0240058089467042,56,0.0240207521844275,44,0.0239348437075086
,55.5,0.247185876892069,44.5,0.239266537002363,55.5,0.254054958999451,44.5,0.234846812114374,55.5,0.251832280689879,44.5,0.224859252661859,55.5,0.228826732156459,44.5,0.196754027020222,55.5,0.233720311202592,44.5,0.200285020213806,55.5,0.238666470798883,44.5,0.203827640405488,55.5,0.239112811281516,44.5,0.197909957120921,55.5,0.244678032223599,44.5,0.202727765888307,55.5,0.250987159455087,44.5,0.207971381447529,55.5,0.226159109139904,44.5,0.214110185120005,55.5,0.230832956807836,44.5,0.218717716661592,55.5,0.235455788905768,44.5,0.223386414612206,55.5,0.0237551297735408,44.5,0.023560483267888,55.5,0.0235505062249514,44.5,0.0234259394388453,55.5,0.023467787568808,44.5,0.0235133285447248,55.5,0.00376149027284228,44.5,0.00356932250182747,55.5,0.00369917798756836,44.5,0.00355567864229116,55.5,0.00366546667321182,44.5,0.00383342754847203,55.5,0.00477943607993794,44.5,0.00482863495280335,55.5,0.00467317226963231,44.5,0.00473053070985583,55.5,0.00457198545731284,44.5,0.00461966800664522,55.5,0.0242232517169675,44.5,0.0241036800972185,55.5,0.0240955560245702,44.5,0.0240067239958116,55.5,0.0240194677224339,44.5,0.0239285966847413
,55,0.247110466828208,45,0.240688498244021,55,0.253944255440521,45,0.237286535041116,55,0.251725491468849,45,0.227242551356293,55,0.228719900217341,45,0.199263649320657,55,0.23361938480941,45,0.202518361944654,55,0.238554749970826,45,0.205833812461275,55,0.23874508356869,45,0.198444914231948,55,0.244056607789009,45,0.203221837465698,55,0.250319071554045,45,0.208445295569174,55,0.224707722294397,45,0.214254419608945,55,0.229531031761555,45,0.218862608167016,55,0.234051889956376,45,0.223511852632193,55,0.0237530783497318,45,0.023546791691123,55,0.0235603458054382,45,0.0234220398192646,55,0.0234775785686817,45,0.0235140931759161,55,0.00375482471624717,45,0.00357083971819922,55,0.00369668009930766,45,0.00355694367730353,55,0.00365993838345522,45,0.00381591231738075,55,0.00480494040095231,45,0.00483723002074069,55,0.00469899676500732,45,0.00472233977165536,55,0.00461100355746605,45,0.00462077422905,55,0.0242196044815318,45,0.0241013752479939,55,0.0241079922390699,45,0.0240054351792069,55,0.0240272933609335,45,0.0239301890148753
,54.5,0.247091969577195,45.5,0.241885131309207,54.5,0.253862941854688,45.5,0.239668110699519,54.5,0.251599349916404,45.5,0.229912850070379,54.5,0.228612010146874,45.5,0.201924463466179,54.5,0.233517515733987,45.5,0.205056773724532,54.5,0.238446377378147,45.5,0.208086498715313,54.5,0.23809007787717,45.5,0.198980065779646,54.5,0.243344977207918,45.5,0.203734580449726,54.5,0.249517544910867,45.5,0.208958933459907,54.5,0.223537819905412,45.5,0.214385964905387,54.5,0.228307034688377,45.5,0.218973148971172,54.5,0.232856606525386,45.5,0.223646846453328,54.5,0.0237619864260751,45.5,0.0235578447626395,54.5,0.023573296451992,45.5,0.0234197439829179,54.5,0.0234599515431351,45.5,0.0235071797412056,54.5,0.00375972910552969,45.5,0.00356901335606268,54.5,0.00370339868110409,45.5,0.00355590691915283,54.5,0.00366871572926577,45.5,0.00380747274253056,54.5,0.00482908114133678,45.5,0.00484051127549436,54.5,0.00472710918600773,45.5,0.00472293374853454,54.5,0.00460447517005167,45.5,0.0046198589900619,54.5,0.024226753292773,45.5,0.0241001701457175,54.5,0.0241071572153778,45.5,0.0240035532771955,54.5,0.0240279272317314,45.5,0.0239260776195887
,54,0.247165672141953,46,0.242984535908777,54,0.25374151390412,46,0.241918363019291,54,0.251477135372618,46,0.232339089495297,54,0.22847583664001,46,0.204922239248842,54,0.23339513049993,46,0.207818833869739,54,0.238298786326799,46,0.21079151910586,54,0.237109839374884,46,0.199556625138766,54,0.242368666687272,46,0.204306363787608,54,0.24846395127687,46,0.209548858869299,54,0.222515869956613,46,0.214538448946877,54,0.227225841071446,46,0.219132525603126,54,0.231861171042068,46,0.223798164247719,54,0.0237788151090639,46,0.0235687139229951,54,0.0235692966749774,46,0.0234218104817306,54,0.0234610599274329,46,0.0235105968795265,54,0.00375850702790947,46,0.00357066885133129,54,0.00370993367496585,46,0.00356045263036308,54,0.0036605500535068,46,0.00379470329917608,54,0.00485294836020046,46,0.00483825681828723,54,0.004751971503643,46,0.00472554522202822,54,0.00462214905715046,46,0.0046169911611662,54,0.0242298734353032,46,0.0241040988079217,54,0.0241057321335297,46,0.0240039582222968,54,0.0240279035072781,46,0.0239266246358871
,53.5,0.247108654714612,46.5,0.243867969649474,53.5,0.253640603964249,46.5,0.243945911594908,53.5,0.25135713648046,46.5,0.234986690791304,53.5,0.228346128842414,46.5,0.207834661832707,53.5,0.233269715539417,46.5,0.210892563482422,53.5,0.238146494481493,46.5,0.213545942567914,53.5,0.236044339414749,46.5,0.200173747814232,53.5,0.241236651383052,46.5,0.205090224609614,53.5,0.247133412506509,46.5,0.210161635577156,53.5,0.22166206060121,46.5,0.214691869563473,53.5,0.226419107661548,46.5,0.219275196777089,53.5,0.231056097050842,46.5,0.223967914331304,53.5,0.0237837307532267,46.5,0.0235849195606308,53.5,0.0235777673902929,46.5,0.0234301809503993,53.5,0.0234852875515632,46.5,0.0235163889952426,53.5,0.00375950256172538,46.5,0.00359195362274657,53.5,0.00370192604614794,46.5,0.00355350013200454,53.5,0.0036752327736354,46.5,0.00377859901631254,53.5,0.00487816506609858,46.5,0.00483976716465001,53.5,0.0047698665553961,46.5,0.00472836051049379,53.5,0.00463928617687423,46.5,0.00462504507102629,53.5,0.0242448828252353,46.5,0.0241109464499563,53.5,0.0241097688602977,46.5,0.0240075438846409,53.5,0.0240309448002769,46.5,0.0239314186074058
,53,0.247036467383422,47,0.244595261759724,53,0.253542011260749,47,0.245835794066653,53,0.251196091949818,47,0.237405824960219,53,0.228206869096602,47,0.210916783698263,53,0.233137180896644,47,0.213916371687405,53,0.237967139297909,47,0.21676681061822,53,0.234754699322114,47,0.200899209727237,53,0.239932797156069,47,0.205737999841195,53,0.245436687184707,47,0.210902835234988,53,0.222723347366045,47,0.214869745789049,53,0.225647835472948,47,0.219451315836403,53,0.230322388410535,47,0.224121360933774,53,0.0237733141270764,47,0.0235723818945771,53,0.0235835224773736,47,0.0234245369979877,53,0.0234780766484524,47,0.0235185438706352,53,0.00376617620109346,47,0.00359187389338597,53,0.00370255741328063,47,0.00355148003224064,53,0.00367178224037971,47,0.00376704786752587,53,0.00489277612130607,47,0.00484207593224829,53,0.00477823636861402,47,0.0047222731566801,53,0.00466406388381315,47,0.00462411098607218,53,0.0242424706298902,47,0.0241074971432798,53,0.0241031494377457,47,0.0240183301494279,53,0.0240323751781846,47,0.0239317183715582
,52.5,0.246970785338235,47.5,0.245203835364565,52.5,0.253413210519494,47.5,0.247471758773349,52.5,0.251057994629472,47.5,0.239753398143687,52.5,0.228043697435887,47.5,0.213814474871386,52.5,0.232964947897661,47.5,0.216944159291083,52.5,0.237781559271578,47.5,0.219726966264591,52.5,0.233208406549666,47.5,0.201721474141738,52.5,0.238052089170139,47.5,0.20647222988575,52.5,0.243492102146474,47.5,0.211646118695957,52.5,0.22147842761498,47.5,0.215040393018614,52.5,0.224983414399858,47.5,0.219628350864367,52.5,0.229605340396953,47.5,0.224312449968755,52.5,0.0237751080976141,47.5,0.0235549746595084,52.5,0.0235749603684992,47.5,0.023432485099824,52.5,0.0234750689083661,47.5,0.0235205046905409,52.5,0.00375485938298943,47.5,0.00358355109600195,52.5,0.00369900717561839,47.5,0.00355792551583399,52.5,0.00367193644123112,47.5,0.0037546737092742,52.5,0.00490969049574449,47.5,0.00482609373155953,52.5,0.00478784504913197,47.5,0.00472960203377012,52.5,0.00468018418600986,47.5,0.00462502460115563,52.5,0.0242422529351618,47.5,0.0241008114795471,52.5,0.0241081404977859,47.5,0.0240146712742857,52.5,0.0240407162063807,47.5,0.0239282954679704
,52,0.246861990824758,48,0.245722599862371,52,0.253319605137954,48,0.248828321186122,52,0.250900822333617,48,0.241900412254855,52,0.227861751276839,48,0.21642734142613,52,0.232796362711918,48,0.219871429601241,52,0.237546977537165,48,0.222701872762021,52,0.231271470411954,48,0.202708085980248,52,0.235995419329698,48,0.207363378267397,52,0.240980947878637,48,0.212549599093341,52,0.220042652079491,48,0.215243280444422,52,0.224384794764569,48,0.219821609112993,52,0.229003709187954,48,0.224524549693953,52,0.0237926432469848,48,0.0235680559779402,52,0.0235803267096709,48,0.023422172137426,52,0.0234879409420575,48,0.0235117503226772,52,0.00375744129036538,48,0.00357911782840304,52,0.00369917753456986,48,0.00355731550781241,52,0.00367389312993153,48,0.00372643223118068,52,0.00491361127220116,48,0.00483335191588323,52,0.00478868701643115,48,0.00472329407827882,52,0.00468667433444281,48,0.00462454449586787,52,0.0242468829210663,48,0.0241045736037668,52,0.0241145121293142,48,0.0239974169558131,52,0.0240429466404348,48,0.0239391417120283
,51.5,0.246756868858603,48.5,0.246178740602474,51.5,0.253179387281077,48.5,0.250030931593623,51.5,0.250703307721944,48.5,0.243696259084032,51.5,0.227672726807544,48.5,0.218640264680357,51.5,0.232598319040888,48.5,0.222416963107434,51.5,0.237304034628334,48.5,0.225483515050658,51.5,0.2291205718608,48.5,0.203753156445748,51.5,0.233529852446894,48.5,0.208396138032589,51.5,0.238411868831518,48.5,0.213582392175011,51.5,0.219357032125308,48.5,0.215458178199328,51.5,0.223850138302928,48.5,0.220037650414889,51.5,0.228473918199464,48.5,0.224736772561678,51.5,0.0237730486558999,48.5,0.0235592685247066,51.5,0.0235605726751883,48.5,0.0234283756499259,51.5,0.0234821267636308,48.5,0.0235068537451246,51.5,0.00376413620786248,48.5,0.00358976677197574,51.5,0.00369567359469108,48.5,0.00356448031456639,51.5,0.00367817294893721,48.5,0.00371571798241493,51.5,0.00492124724602425,48.5,0.00482693200709942,51.5,0.00479515696304198,48.5,0.00472107126015985,51.5,0.00469161519200339,48.5,0.00461919365007232,51.5,0.0242385086104294,48.5,0.0240961991261231,51.5,0.0241151183131277,48.5,0.0240045629106566,51.5,0.0240371421171711,48.5,0.0239357138271589
,51,0.246747453939378,49,0.246540086595791,51,0.253033585590056,49,0.250985702447573,51,0.250493522151491,49,0.245297589369606,51,0.227430291105429,49,0.220675185494993,51,0.23235777748544,49,0.224660497417181,51,0.236992806507729,49,0.227846570803234,51,0.226477648760166,49,0.205094003934436,51,0.230902711204621,49,0.209720616086093,51,0.235669670914062,49,0.214751005967277,51,0.218788618130415,49,0.215703477926563,51,0.223378810946726,49,0.220265347589803,51,0.228001105096699,49,0.224980267356983,51,0.0237814556358931,49,0.0235514422373675,51,0.0235723537025072,49,0.0234362895919127,51,0.0234746071514787,49,0.0235092195280017,51,0.00376880332946613,49,0.0035878296203556,51,0.00370092314086351,49,0.00356941052655545,51,0.0036725200874268,49,0.00368708320901231,51,0.00493798106015659,49,0.00482037804565377,51,0.00480209926290038,49,0.00472048548892661,51,0.0046931264344505,49,0.00462624086530965,51,0.0242467329820904,49,0.0240963037595704,51,0.0241164043360095,49,0.0240081821481773,51,0.0240401649261133,49,0.0239354611265566
,50.5,0.24673714511816,49.5,0.246845321444638,50.5,0.252891105089951,49.5,0.251771882229456,50.5,0.250263329584974,49.5,0.246677660663243,50.5,0.227153558011947,49.5,0.222305567033892,50.5,0.232003749487165,49.5,0.226467030963294,50.5,0.23664152776509,49.5,0.229921944562868,50.5,0.223672562439581,49.5,0.206681918485547,50.5,0.227952729982492,49.5,0.211180496155771,50.5,0.232763469762997,49.5,0.216170740720561,50.5,0.218313857334094,49.5,0.215956635291826,50.5,0.222914784700589,49.5,0.220530608634208,50.5,0.227554498420191,49.5,0.225219972821644,50.5,0.0237908812981302,49.5,0.023565503439517,50.5,0.0235773256501264,49.5,0.0234343022255168,50.5,0.0234768321759598,49.5,0.0235003362307378,50.5,0.00375911673940166,49.5,0.00358406974264277,50.5,0.0037076116912164,49.5,0.00356822366270202,50.5,0.00367317913113469,49.5,0.00367391111698802,50.5,0.0049424197452526,49.5,0.00482760505525357,50.5,0.00481072106228731,49.5,0.00471519707817861,50.5,0.00469582459210601,49.5,0.00462032398936704,50.5,0.0242537700169932,49.5,0.0240937696596915,50.5,0.0241110755771868,49.5,0.0240018682470092,50.5,0.0240457280062012,49.5,0.0239323257557282
,50,0.246673182052283,50,0.247156777772198,50,0.252699122577442,50,0.25249043278315,50,0.24996243273663,50,0.247739607710085,50,0.226831487590188,50,0.22360868178102,50,0.231633392870736,50,0.228154713981101,50,0.236139242723374,50,0.231783825334918,50,0.220735241219747,50,0.208500047575976,50,0.225042560329135,50,0.213066998202409,50,0.229507439693501,50,0.217960061396374,50,0.217842138896764,50,0.216247501424264,50,0.22248312564582,50,0.220781844825592,50,0.227104812116563,50,0.225493575665852,50,0.0238085325963785,50,0.0235754262861787,50,0.0235758018233063,50,0.0234262452153935,50,0.0234963403946699,50,0.0235026541973431,50,0.00376627542620023,50,0.00359166267301805,50,0.00370129705214054,50,0.00356236863179568,50,0.0036679514085219,50,0.00366201877121856,50,0.0049600077688936,50,0.00483678680707738,50,0.00482090575693168,50,0.00471505070818254,50,0.00470131558904638,50,0.00462558855875659,50,0.0242499235307897,50,0.0241051909106277,50,0.0241167028817892,50,0.0240016270585606,50,0.0240404099995776,50,0.0239367757145408
,49.5,0.246572699961692,50.5,0.247407325423052,49.5,0.252490288635047,50.5,0.253024188620287,49.5,0.249558269683878,50.5,0.248723189022986,49.5,0.226431290135763,50.5,0.224656167291957,49.5,0.231130713390407,50.5,0.229421149042112,49.5,0.23557556441223,50.5,0.233229211452737,49.5,0.217903523034478,50.5,0.210586947100414,49.5,0.221973887999826,50.5,0.215117898794981,49.5,0.226570799032582,50.5,0.219958640104744,49.5,0.217439564205514,50.5,0.216540698246316,49.5,0.222092573826119,50.5,0.221078352559024,49.5,0.226711388386372,50.5,0.225787440815387,49.5,0.023797876367785,50.5,0.0235675334819181,49.5,0.0235735315987774,50.5,0.0234364698318768,49.5,0.0234987877489263,50.5,0.0234910035827163,49.5,0.00378127098579791,50.5,0.00358823503861355,49.5,0.00370788017225064,50.5,0.0035681373435638,49.5,0.00367702168779494,50.5,0.00364792841907127,49.5,0.00496910641680093,50.5,0.00483455451737987,49.5,0.00481114457676794,50.5,0.00470910783933406,49.5,0.00470701752224453,50.5,0.00461264357856931,49.5,0.0242471123628177,50.5,0.024105563433159,49.5,0.0241179655896692,50.5,0.0239963070222582,49.5,0.0240462306622106,50.5,0.0239323190431817
,49,0.246447571924873,51,0.247658543883528,49,0.252259793374385,51,0.253485750321297,49,0.249088690337691,51,0.249462833145111,49,0.22592881679978,51,0.225566551002892,49,0.230496826460794,51,0.23042109872593,49,0.234825550648269,51,0.234360371694598,49,0.215128367526313,51,0.213151643191996,49,0.219050206423868,51,0.217475890759095,49,0.223811306967654,51,0.222261241444544,49,0.217081193945107,51,0.216883584647869,49,0.221710545678711,51,0.221393596344538,49,0.226348762830666,51,0.226108340298716,49,0.0237941113425498,51,0.0235725983125272,49,0.0235687941642566,51,0.023428123829266,49,0.0234966613531749,51,0.0234763575266607,49,0.00376061289739862,51,0.00359049251156544,49,0.00370802398067876,51,0.00357331674554758,49,0.00366701997680983,51,0.00363430268513483,49,0.00496035910635441,51,0.00483706917079321,49,0.00481580075658666,51,0.00470033218798822,49,0.00472405100481016,51,0.00460012960797301,49,0.0242496911171878,51,0.0241149907845952,49,0.024109948789783,51,0.0240031908907589,49,0.0240505997275603,51,0.0239290393770848
,48.5,0.246320388896366,51.5,0.247882549488946,48.5,0.251991458714342,51.5,0.253876763506711,48.5,0.248497753805963,51.5,0.250080762750813,48.5,0.225291427613088,51.5,0.226231413537763,48.5,0.229735578564874,51.5,0.231234609362969,48.5,0.233799432922975,51.5,0.235291591889248,48.5,0.21248425404839,51.5,0.215862788442583,48.5,0.216501995006136,51.5,0.220175824067857,48.5,0.221150161831134,51.5,0.224972150963694,48.5,0.216778379613648,51.5,0.217239779152622,48.5,0.221363552902119,51.5,0.221747413190071,48.5,0.226023642378461,51.5,0.226451235930309,48.5,0.0237944684183816,51.5,0.0235758418313588,48.5,0.0235738583729114,51.5,0.0234413532382074,48.5,0.0234916612006389,51.5,0.0234668551943379,48.5,0.00375646060657812,51.5,0.00358795715303271,48.5,0.00371350460033253,51.5,0.00356847744510422,48.5,0.00366954475321572,51.5,0.00361093468898124,48.5,0.00494412206722143,51.5,0.00483642714541989,48.5,0.00482230974875273,51.5,0.00470286773697583,48.5,0.00473158397386236,51.5,0.00459841563811658,48.5,0.0242505252630245,51.5,0.0241119720892701,48.5,0.0241090460988858,51.5,0.0240071055649007,48.5,0.0240455949165722,51.5,0.0239257663341799
